# brass holder with empty powder container 
#  temperature (K) 	 M/H spline 0.1T (emu) 	 M/H spline 5T (emu)
1.317191719171917086e+01	3.967461165790492864e-10	3.115253363910113306e-10
1.320672067206720612e+01	3.984730712417721658e-10	3.132625132237465226e-10
1.324152415241523961e+01	4.001860898531978217e-10	3.149924277528246765e-10
1.327632763276327488e+01	4.018852540992104996e-10	3.167151921661808786e-10
1.331113111311131014e+01	4.035706456656937212e-10	3.184309186517502670e-10
1.334593459345934541e+01	4.052423462385317839e-10	3.201397193974679277e-10
1.338073807380737890e+01	4.069004375036081059e-10	3.218417065912686885e-10
1.341554155415541416e+01	4.085450011468070880e-10	3.235369924210875323e-10
1.345034503450344943e+01	4.101761188540123036e-10	3.252256890748599072e-10
1.348514851485148469e+01	4.117938723111076364e-10	3.269079087405206409e-10
1.351995199519951818e+01	4.133983432039770734e-10	3.285837636060044062e-10
1.355475547554755344e+01	4.149896132185044983e-10	3.302533658592469612e-10
1.358955895589558871e+01	4.165677640405737430e-10	3.319168276881827202e-10
1.362436243624362397e+01	4.181328773560687429e-10	3.335742612807471830e-10
1.365916591659165746e+01	4.196850348508733300e-10	3.352257788248749704e-10
1.369396939693969273e+01	4.212243182108715431e-10	3.368714925085014791e-10
1.372877287728772799e+01	4.227508091219470072e-10	3.385115145195615366e-10
1.376357635763576326e+01	4.242645892699838129e-10	3.401459570459902810e-10
1.379837983798379675e+01	4.257657403408657921e-10	3.417749322757226951e-10
1.383318331833183201e+01	4.272543440204769319e-10	3.433985523966937616e-10
1.386798679867986728e+01	4.287304819947009091e-10	3.450169295968388254e-10
1.390279027902790077e+01	4.301942359494215040e-10	3.466301760573614285e-10
1.393759375937593603e+01	4.316456875705232723e-10	3.482383831216651185e-10
1.397239723972397130e+01	4.330849185438893740e-10	3.498415752236267165e-10
1.400720072007200656e+01	4.345120105554041580e-10	3.514397633944703130e-10
1.404200420042004005e+01	4.359270452909511977e-10	3.530329586654209810e-10
1.407680768076807531e+01	4.373301044364144801e-10	3.546211720677028627e-10
1.411161116111611058e+01	4.387212696776780959e-10	3.562044146325406171e-10
1.414641464146414584e+01	4.401006227006255667e-10	3.577826973911586452e-10
1.418121812181217933e+01	4.414682451911410863e-10	3.593560313747815543e-10
1.421602160216021460e+01	4.428242188351083317e-10	3.609244276146337453e-10
1.425082508250824986e+01	4.441686253184115484e-10	3.624878971419402392e-10
1.428562856285628513e+01	4.455015463269341030e-10	3.640464509879248681e-10
1.432043204320431862e+01	4.468230635465601378e-10	3.656001001838122912e-10
1.435523552355235388e+01	4.481332586631738465e-10	3.671488557608274262e-10
1.439003900390038915e+01	4.494322133626584925e-10	3.686927287501945187e-10
1.442484248424842441e+01	4.507200093308984247e-10	3.702317301831381763e-10
1.445964596459645790e+01	4.519967282537774751e-10	3.717658710908825928e-10
1.449444944494449317e+01	4.532624518171793205e-10	3.732951625046526861e-10
1.452925292529252843e+01	4.545172617069879997e-10	3.748196154556729085e-10
1.456405640564056370e+01	4.557612396090876031e-10	3.763392409751674539e-10
1.459885988598859718e+01	4.569944672093614975e-10	3.778540500943612918e-10
1.463366336633663245e+01	4.582170261936938766e-10	3.793640538444785645e-10
1.466846684668466771e+01	4.594289982479687792e-10	3.808692632567442412e-10
1.470327032703270120e+01	4.606304650580698822e-10	3.823696893623822575e-10
1.473807380738073647e+01	4.618215083098812761e-10	3.838653431926176344e-10
1.477287728772877173e+01	4.630022096892865343e-10	3.853562357786744625e-10
1.480768076807680700e+01	4.641726508821696438e-10	3.868423781517778663e-10
1.484248424842484049e+01	4.653329135744146952e-10	3.883237813431515228e-10
