# Temperature (K) 	 M/H in emu (multiply by field in Oe)
5.095705795288089490e+01	2.290285307559692113e-12
5.111051368713379617e+01	2.335351017725279249e-12
5.127634048461910510e+01	2.530502509892799823e-12
5.143987274169919743e+01	2.596414731861297323e-12
5.159487533569339490e+01	2.311299396965782074e-12
5.176189804077150569e+01	1.749636821576321244e-12
5.192627334594729405e+01	2.156557943644514758e-12
5.209317207336429334e+01	2.222577532124133205e-12
5.225492286682129617e+01	2.347103646981030731e-12
5.241580390930179334e+01	2.557913128007722148e-12
5.258514595031740413e+01	2.656258145973739137e-12
5.274202919006349788e+01	2.488552161308762952e-12
5.291415023803710227e+01	2.818844688736281215e-12
5.308078193664550071e+01	2.751722113779194347e-12
5.324885177612299714e+01	2.075530516330973952e-12
5.341392707824709873e+01	2.290137181807391660e-12
5.358538818359370026e+01	2.269250086562192360e-12
5.375369071960449929e+01	2.241358960314929974e-12
5.391055297851560368e+01	2.433014335518043374e-12
5.408063888549799714e+01	2.187968329537365013e-12
5.423430252075200286e+01	2.091904415549432151e-12
5.439443778991699929e+01	2.366016343279731827e-12
5.455946350097659803e+01	2.266404750275186623e-12
5.472189712524410510e+01	2.154093630039079516e-12
5.488694381713870030e+01	1.955218981807998594e-12
5.505574417114259944e+01	1.921893801008299416e-12
5.521777153015139561e+01	2.524414137096898196e-12
5.537789344787599788e+01	1.996112615567362575e-12
5.554314613342290130e+01	2.276717158203030568e-12
5.570612716674799714e+01	2.214019082272138324e-12
5.586696243286129970e+01	2.115300056701124349e-12
5.604386901855470882e+01	1.647615047543557491e-12
5.621854019165039773e+01	1.304395898879199382e-12
5.639196395874020595e+01	2.250188261632266064e-12
5.655823707580569959e+01	1.805817747248098932e-12
5.672833824157709870e+01	2.298008466169944045e-12
5.688236427307129617e+01	2.076543853313478896e-12
5.705210685729979758e+01	2.089563522449800404e-12
5.720195770263669743e+01	2.258591750733312751e-12
5.736074447631839490e+01	1.729332554081645913e-12
5.752094078063959870e+01	2.162301958415244919e-12
5.768450355529790130e+01	2.277041775983342431e-12
5.784724044799799714e+01	1.551482831491633863e-12
5.801192855834960227e+01	1.907120134564350682e-12
5.817507171630860086e+01	1.955677005599307834e-12
5.834046363830569959e+01	2.107971283939421944e-12
5.850696372985839844e+01	1.872788095684429364e-12
