#  temperature dependence of magnetization of quartz holder at 2T
#   temperature (K) 	 M/H (emu)
1.310080337524410083e+02	-2.548501633825160404e-08
1.315194702148440058e+02	-1.939680675380679968e-08
1.320185852050779829e+02	1.114091998479859834e-09
1.325064315795899859e+02	-1.500960453987820004e-08
1.329923248291019888e+02	-1.718191138193979790e-08
1.334943923950199860e+02	-1.394984736388959927e-08
1.340048751831049856e+02	-1.723093606759480086e-08
1.344941711425779829e+02	-1.099050005939770074e-08
1.349781951904300001e+02	-1.983010790321550172e-08
1.354674072265620168e+02	-1.617609091974779851e-08
1.359598922729490198e+02	-8.920532833279530005e-09
1.364584350585940058e+02	-2.673158189521799756e-08
1.369552841186520027e+02	-1.888876669388539953e-08
1.374736709594729973e+02	-1.828369574559159876e-08
1.379761047363279829e+02	-2.222819714781309798e-08
1.384582977294919885e+02	-2.645878852941410183e-08
1.389501571655270027e+02	-1.700025273601769993e-08
1.394423675537109943e+02	-2.416641044678499921e-08
1.399471969604490198e+02	-2.956951404585229889e-09
1.404752120971679972e+02	-2.231850444343089676e-08
1.409648666381839917e+02	-1.181524541416599976e-08
1.414678497314449999e+02	-1.500678182819010012e-08
1.419567031860350141e+02	-1.495938643558240083e-08
1.424536209106450144e+02	-1.644811830198510023e-08
1.429528121948240198e+02	-2.384898309666480140e-08
1.434729385375979973e+02	-1.246090291667709971e-08
1.439521789550779829e+02	-9.897188136482689699e-09
1.444515304565429972e+02	-1.126081365990270028e-08
1.449365844726559942e+02	-1.365097696821579860e-08
1.454378433227539915e+02	-2.520573472977569690e-08
1.459439773559570028e+02	-1.658336570370999713e-08
1.464401931762699860e+02	-1.777784519364319878e-08
1.469330520629879970e+02	-1.103487746149219961e-08
1.474367675781250000e+02	-2.248810237084170025e-08
1.479489059448240198e+02	-1.499959956128290159e-08
1.484445266723629970e+02	-2.350854588941400204e-08
1.489358444213870030e+02	-1.415590892693820065e-08
1.494204330444339917e+02	-1.325237033914180019e-08
1.499174118041990198e+02	-1.789728584154789896e-08
1.504221496582029829e+02	-1.058657638652730047e-08
1.509250946044919885e+02	-2.689194929067319672e-08
1.513986587524410083e+02	-1.215738084132700043e-08
1.519126052856450144e+02	-1.618129492277979717e-08
1.524210510253909945e+02	-1.317691194290989949e-08
1.529113922119140057e+02	-1.032858196969319934e-08
1.534143600463870030e+02	-2.670733698121259789e-08
1.539192123413089917e+02	-7.111768700647409593e-09
1.544202957153320028e+02	-2.155637932292949760e-08
1.549117965698240198e+02	-8.554076076558228657e-09
1.554043426513669885e+02	-1.509281559658310119e-08
1.559023284912109943e+02	-7.192547791017930346e-09
1.564162750244140057e+02	-1.083503463064090089e-08
1.569128570556640057e+02	-8.088827653064240276e-09
1.574060745239259802e+02	-1.503092985426520036e-08
1.578986358642580115e+02	-1.791505530163060265e-08
1.583930664062500000e+02	-2.959814162302259601e-10
1.588904190063479973e+02	-1.780823144324059920e-08
1.593803710937500000e+02	-2.283075316778430143e-08
1.598748779296870168e+02	-1.717134983167969831e-08
1.603932952880859943e+02	-8.397883217584449628e-09
1.608977966308590055e+02	-2.271295390820249814e-08
1.613992691040039915e+02	-1.565617344450900096e-08
1.618735656738279829e+02	-1.772359764316539906e-08
1.623838043212890057e+02	-2.372757676093080040e-08
1.628894195556640057e+02	-1.829025803723959824e-08
1.633766937255859943e+02	-2.079714909923280033e-08
1.638816757202149859e+02	-2.275572859355680062e-08
1.643969268798830115e+02	-2.130882106378070241e-08
1.648935623168950144e+02	-2.351803675636770272e-08
1.653822402954100141e+02	-2.159515610517779753e-08
1.658643188476559942e+02	-1.285924887514989907e-08
1.663639221191409945e+02	-1.603174017497619907e-08
1.668674011230470171e+02	-1.905152943245110243e-08
1.673548355102539915e+02	-9.975645624308158781e-09
1.678587112426759802e+02	-1.121444918010759960e-08
1.683550491333009802e+02	-1.268951888410909973e-08
1.688509140014649859e+02	-1.619452546684780183e-08
1.693641510009769888e+02	-2.373976302349330257e-08
1.698538665771480112e+02	-1.241640790599070120e-08
1.703563003540039915e+02	-1.665940128357610165e-08
1.708550720214840055e+02	-1.175550303817090110e-08
1.713518905639649859e+02	-1.018313934069879888e-08
1.718536758422850141e+02	-3.052295113018039425e-09
1.723616027832030113e+02	-2.950964457978069828e-08
1.728777313232419885e+02	-2.876118875235839950e-08
1.733717498779300001e+02	-2.041722313852630109e-08
1.738567199707030113e+02	-2.750771316791700100e-08
1.743528060913090201e+02	-2.312338339828140104e-08
1.748502883911130255e+02	-1.081752652658319857e-08
1.753373947143550140e+02	-2.298425430090069633e-08
1.758581008911130255e+02	-1.159731882350560130e-08
1.763442687988280113e+02	-1.497129750242610028e-08
1.768474884033199999e+02	-7.112267509161159615e-09
1.773349075317380255e+02	-2.116554290594199960e-08
1.778183593750000000e+02	-8.648683966149179011e-09
1.783258514404300001e+02	-1.263212747055719878e-08
1.788171463012699860e+02	-2.309029591084099965e-08
1.793188705444340201e+02	-3.018697911311700254e-08
1.798293991088869745e+02	-2.357062314126700222e-08
1.803260192871090055e+02	-1.320879567838530117e-08
